epoch,train_loss,train_bag_loss,train_mil_pos_loss,train_mil_neg_loss,train_auc,val_loss,val_bag_loss,val_mil_pos_loss,val_mil_neg_loss,val_roc_auc,val_pr_auc,combined_metric
1,1.2212004304423167,0.9776811243036434,0.18041175862857106,0.06310754705732918,0.8280778765288447,0.8764350851376851,0.7441795318126678,0.11348772006109357,0.018767830652495224,0.8946611556492552,0.4082658385431726,0.6514634970962139
2,0.9839547050303643,0.828678765966629,0.1341493320892238,0.021126607397442324,0.8795079338245342,0.8325250469048818,0.7017337116400401,0.10828901196519534,0.022502322263394794,0.9018884481307851,0.414655310726404,0.6582718794285946
3,0.9477358275401533,0.7972549602438433,0.12965773250263252,0.02082313530452402,0.8897525489622244,0.8697513647079468,0.7277438649336497,0.10934954681868354,0.03265795236701766,0.9018276050190945,0.3992092032997493,0.6505184041594219
4,0.925828427567317,0.7778625702077318,0.12773804183454057,0.020227815513000433,0.8949660977369691,0.8523474160035451,0.7172209715843201,0.10386986888945103,0.031256572861224415,0.9064091468094353,0.43604864276397987,0.6712288947867076
5,0.9213542169141024,0.7740360193015913,0.12653805781247882,0.020780137665661842,0.8957529091129822,0.9332023834387462,0.7879437797466914,0.10885752878213922,0.03640107734253009,0.9002994072882282,0.41173674567867324,0.6560180764834507
6,0.9069372210584127,0.7606806526859666,0.12596835733791797,0.020288211276219263,0.9000551039456961,0.8404333362181982,0.7116646833817164,0.1057155343790849,0.023053120582054058,0.9036706519829492,0.4359307526851602,0.6698007023340546
7,0.9013972314028607,0.7560151343388848,0.12497490032758607,0.020407197119582204,0.9002642836504166,0.813209996521473,0.6857716520229975,0.10677472454557817,0.02066361865401268,0.90504276586498,0.43708065272328933,0.6710617092941347
8,0.8934986294494233,0.7490280783991444,0.12429705382841816,0.02017349788621436,0.9033638906760393,0.8021419030229251,0.6760069155097008,0.10543925894113879,0.02069572665542364,0.9091199940821288,0.4393515430655603,0.6742357685738446
9,0.8776016543538017,0.7344646545056456,0.1227341116726693,0.020402887245851892,0.9078608413442318,0.8065484423836072,0.6814765946269036,0.10857573746331037,0.016496106661235292,0.905567052252952,0.4464545790394027,0.6760108156461774
10,0.864268538147162,0.7229558598685893,0.12138817310701484,0.019924504479049678,0.9104358679462209,0.8086945801575979,0.6818053914308548,0.10581135222688318,0.02107783559213082,0.9090277122805072,0.4401230060570793,0.6745753591687933
